,date,text_length
643,2014-08-07,403
644,2014-08-08,286
645,2014-08-11,330
646,2014-08-12,346
647,2014-08-13,406
648,2014-08-14,367
649,2014-08-15,230
650,2014-08-18,292
651,2014-08-19,227
652,2014-08-20,357
653,2014-08-21,311
654,2014-08-25,244
655,2014-08-26,240
656,2014-08-27,507
657,2014-09-03,346
658,2014-09-04,305
659,2014-09-05,249
660,2014-09-08,252
661,2014-09-09,389
662,2014-09-10,414
663,2014-09-11,474
664,2014-09-12,596
665,2014-09-16,375
666,2014-09-17,407
667,2014-09-18,379
668,2014-09-19,473
669,2014-09-22,238
670,2014-09-23,380
671,2014-09-24,481
672,2014-09-29,492
673,2014-09-30,392
674,2014-10-01,489
675,2014-10-02,480
676,2014-10-03,461
677,2014-10-06,420
678,2014-10-07,367
679,2014-10-10,350
680,2014-10-14,365
681,2014-10-15,323
682,2014-10-16,335
683,2014-10-17,554
684,2014-10-20,447
685,2014-10-21,560
686,2014-10-22,558
687,2014-10-23,654
688,2014-10-24,155
689,2014-10-27,357
690,2014-10-28,524
691,2014-10-29,522
692,2014-10-30,554
693,2014-10-31,696
694,2014-11-03,565
695,2014-11-04,445
696,2014-11-05,324
697,2014-11-06,651
698,2014-11-07,544
699,2014-11-10,587
700,2014-11-11,525
701,2014-11-12,394
702,2014-11-13,466
703,2014-11-14,449
704,2014-11-17,606
705,2014-11-19,581
706,2014-11-20,638
707,2014-11-24,342
708,2014-11-25,441
709,2014-11-26,568
710,2014-11-27,568
711,2014-11-28,328
712,2014-12-03,495
713,2014-12-04,477
714,2014-12-05,574
715,2014-12-08,403
716,2014-12-09,627
717,2014-12-10,513
718,2014-12-11,429
719,2014-12-12,411
720,2014-12-16,448
721,2014-12-17,491
722,2014-12-18,537
723,2015-01-06,370
724,2015-01-07,417
725,2015-01-08,417
726,2015-01-09,576
727,2015-01-12,611
728,2015-01-13,419
729,2015-01-14,335
730,2015-01-15,485
731,2015-01-16,454
732,2015-01-19,629
733,2015-01-20,405
734,2015-01-21,583
735,2015-01-22,509
736,2015-01-23,568
737,2015-01-27,187
738,2015-01-28,497
739,2015-01-29,588
740,2015-01-30,576
741,2015-02-02,530
742,2015-02-03,435
743,2015-02-04,523
744,2015-02-06,368
745,2015-02-09,522
746,2015-02-10,506
747,2015-02-11,482
748,2015-02-13,589
749,2015-02-17,606
750,2015-02-18,637
751,2015-02-19,635
752,2015-02-20,579
753,2015-02-23,616
754,2015-02-24,608
755,2015-02-25,617
756,2015-02-26,639
757,2015-02-27,675
758,2015-03-02,722
759,2015-03-03,542
760,2015-03-04,554
761,2015-03-05,630
762,2015-03-06,783
763,2015-03-09,505
764,2015-03-10,515
765,2015-03-11,442
766,2015-03-12,514
767,2015-03-13,419
768,2015-03-16,585
